,course_code,course_name,faculty,section,date,professor
0,DA120,"THAI DANCE 1
***เฉพาะนักศึกษาคณะศิลปกรรมศาสตร์เท่านั้น (นศ.นอกคณะโปรดติดต่อผู้ สอนหรืองานบริการการศึกษาคณะฯ)***
ผศ.ดร.ภาวิณี บุญเสริม
อ.ดร.นรีรัตน์ พินิจธนสาร",คณะศิลปกรรมศาสตร์,213201,"TH 08:30-10:30 N/A
TH 10:30-12:30 N/A","ผศ.ดร.ภาวิณี บุญเสริม
อ.ดร.นรีรัตน์ พินิจธนสาร"
1,DA120,"THAI DANCE 1
ผศ.ดร.ภาวิณี บุญเสริม
อ.ดร.นรีรัตน์ พินิจธนสาร",คณะศิลปกรรมศาสตร์,768701,"FR 08:30-10:30 N/A
FR 10:30-12:30 N/A",-
2,DA235,"CENTRAL AND SOUTHERN THAI DANCES
อ.ดร.นรีรัตน์ พินิจธนสาร",คณะศิลปกรรมศาสตร์,820001,"MO 13:30-15:30 N/A
MO 15:30-17:30 N/A",-
3,DA245,"DEVELOPMENT OF ASIAN DANCE
ผศ.ดร.ภาวิณี บุญเสริม",คณะศิลปกรรมศาสตร์,540001,"TH 13:30-15:30 N/A
TH 15:30-17:30 N/A",-
4,DM141,"VISUAL DESIGN ELEMENTS
***เฉพาะนักศึกษาคณะศิลปกรรมศาสตร์เท่านั้น (นศ.นอกคณะโปรดติดต่อผู้***
ผศ.ณัฐคม แช่มเย็น",คณะศิลปกรรมศาสตร์,230001,"TU 09:30-10:30 N/A
TU 10:30-12:30 N/A",-
5,DM142,"BASIC COMPUTER PROGRAM FOR VISUAL DESIGN
***เฉพาะนักศึกษาคณะศิลปกรรมศาสตร์เท่านั้น (นศ.นอกคณะโปรดติดต่อผู้***
ดร.จารุณี อารีรุ่งเรือง",คณะศิลปกรรมศาสตร์,320001,"TH 09:30-10:30 N/A
TH 10:30-12:30 N/A",-
6,DM145,"SCENE PAINTING
***เฉพาะนักศึกษาคณะศิลปกรรมศาสตร์เท่านั้น (นศ.นอกคณะโปรดติดต่อผู้ สอนหรืองานบริการการศึกษาคณะฯ)***
ผศ.ณัฐคม แช่มเย็น",คณะศิลปกรรมศาสตร์,450001,"TU 13:30-15:30 N/A
TU 15:30-17:30 N/A",-
7,DM202,"INTRODUCTION TO THAI THEATRE AND DRAMA
***เฉพาะนักศึกษาคณะศิลปกรรมศาสตร์เท่านั้น (นศ.นอกคณะโปรดติดต่อผู้***
อ.ดร.นรีรัตน์ พินิจธนสาร",คณะศิลปกรรมศาสตร์,780001,WE 09:30-12:30 N/A,-
8,DM211,"WESTERN DRAMA
***เฉพาะนักศึกษาคณะศิลปกรรมศาสตร์เท่านั้น (นศ.นอกคณะโปรดติดต่อผู้***
อ.ดร.อรดา ลีลานุช",คณะศิลปกรรมศาสตร์,320001,TH 09:30-12:30 N/A,-
9,DM221,"ACTING 1
***เฉพาะนักศึกษาคณะศิลปกรรมศาสตร์เท่านั้น (นศ.นอกคณะโปรดติดต่อผู้***
อ.กรินทร์ ใบไพศาล
ผศ.ดร.ภาวิณี บุญเสริม",คณะศิลปกรรมศาสตร์,450001,"TU 13:30-15:30 N/A
TU 15:30-17:30 N/A","อ.กรินทร์ ใบไพศาล
ผศ.ดร.ภาวิณี บุญเสริม"
10,DM221,"ACTING 1
***เฉพาะนักศึกษาคณะศิลปกรรมศาสตร์เท่านั้น (นศ.นอกคณะโปรดติดต่อผู้***
อ.กรินทร์ ใบไพศาล
ผศ.ดร.ภาวิณี บุญเสริม",คณะศิลปกรรมศาสตร์,820001,"MO 13:30-15:30 N/A
MO 15:30-17:30 N/A","อ.กรินทร์ ใบไพศาล
ผศ.ดร.ภาวิณี บุญเสริม"
11,DM247,"STAGE MAKE-UP
***ปิดวิชา***
ดร.จารุณี อารีรุ่งเรือง",คณะศิลปกรรมศาสตร์,820001,"MO 13:30-15:30 N/A
MO 15:30-17:30 N/A",-
12,DM248,"HISTORY OF COSTUME
***ปิดวิชา***
ดร.จารุณี อารีรุ่งเรือง",คณะศิลปกรรมศาสตร์,810001,MO 09:30-12:30 N/A,-
13,DM251,"VOICE TRAINING
***เฉพาะนักศึกษาคณะศิลปกรรมศาสตร์เท่านั้น (นศ.นอกคณะโปรดติดต่อผู้***
ผศ.ศรุพงษ์ สุดประเสริฐ",คณะศิลปกรรมศาสตร์,450001,"TU 13:30-14:30 N/A
TU 14:30-16:30 N/A",-
14,DM251,"VOICE TRAINING
***เฉพาะนักศึกษาคณะศิลปกรรมศาสตร์เท่านั้น (นศ.นอกคณะโปรดติดต่อผู้***
ผศ.ศรุพงษ์ สุดประเสริฐ",คณะศิลปกรรมศาสตร์,450002,"MO 13:30-14:30 N/A
MO 14:30-16:30 N/A",-
15,DM300,"PROFESSIONAL PRACTICE
อ.ดร.นรีรัตน์ พินิจธนสาร",คณะศิลปกรรมศาสตร์,000001,,-
16,DM301,"ARTS AND TECHNOLOGY IN PRESENTING CREATIVE WORKS
***เฉพาะนักศึกษาคณะศิลปกรรมศาสตร์เท่านั้น (นศ.นอกคณะโปรดติดต่อผู้***
ผศ.ศรุพงษ์ สุดประเสริฐ",คณะศิลปกรรมศาสตร์,210001,TH 08:00-11:00 N/A,-
17,DM301,"ARTS AND TECHNOLOGY IN PRESENTING CREATIVE WORKS
***DBTM***
ผศ.ศรุพงษ์ สุดประเสริฐ",คณะศิลปกรรมศาสตร์,641602,,-
18,DM301,"ARTS AND TECHNIQUES IN PRESENTING CREATIVE WORKS
***เฉพาะนักศึกษาในคณะเท่านั้น (นศ.นอกคณะโปรดติดต่อขออนุญาตผู้ สอนโดยใช้ใบคำร้อง)***
ผศ.ศรุพงษ์ สุดประเสริฐ",คณะศิลปกรรมศาสตร์,213201,"TH 08:30-10:30 N/A
TH 10:30-12:30 N/A",-
19,DM302,"DEVELOPMENT OF PERFORMING ARTS IN ASIA
ผศ.ดร.ภาวิณี บุญเสริม",คณะศิลปกรรมศาสตร์,230002,TU 09:30-12:30 N/A,-
20,DM302,"DEVELOPMENT OF ASIAN PERFORMING ARTS
***เฉพาะนักศึกษาในคณะเท่านั้น (นศ.นอกคณะโปรดติดต่อขออนุญาตผู้ สอนโดยใช้ใบคำร้อง)***
ผศ.ดร.ภาวิณี บุญเสริม",คณะศิลปกรรมศาสตร์,230001,TU 09:30-12:30 N/A,-
21,DM305,"STAGE MANAGEMENT
***เฉพาะนักศึกษาคณะศิลปกรรมศาสตร์เท่านั้น (นศ.นอกคณะโปรดติดต่อผู้ สอนหรืองานบริการการศึกษาคณะฯ)***
ผศ.ภาสกร อินทุมาร",คณะศิลปกรรมศาสตร์,450001,"TU 13:30-15:30 N/A
TU 15:30-17:30 N/A",-
22,DM325,"ACTING 3
***เฉพาะนักศึกษาในคณะเท่านั้น (นศ.นอกคณะโปรดติดต่อขออนุญาตผู้ สอนโดยใช้ใบคำร้อง)***
อ.สินีนาฏ เกษประไพ
ผศ.ภาสกร อินทุมาร",คณะศิลปกรรมศาสตร์,900001,"WE 13:30-15:30 N/A
WE 15:30-17:30 N/A","อ.สินีนาฏ เกษประไพ
ผศ.ภาสกร อินทุมาร"
23,DM335,"DIRECTING 1
***เฉพาะนักศึกษาในคณะเท่านั้น (นศ.นอกคณะโปรดติดต่อขออนุญาตผู้ สอนโดยใช้ใบคำร้อง)***
ผศ.ภาสกร อินทุมาร
อ.กรินทร์ ใบไพศาล",คณะศิลปกรรมศาสตร์,910001,"FR 13:30-15:30 N/A
FR 15:30-17:30 N/A","ผศ.ภาสกร อินทุมาร
อ.กรินทร์ ใบไพศาล"
24,DM345,"INTRODUCTION TO SCENE AND PROPS DESIGN 2
***เฉพาะนักศึกษาในคณะเท่านั้น (นศ.นอกคณะโปรดติดต่อขออนุญาตผู้ สอนโดยใช้ใบคำร้อง)***
ผศ.ณัฐคม แช่มเย็น",คณะศิลปกรรมศาสตร์,768701,"FR 08:30-10:30 N/A
FR 10:30-12:30 N/A",-
25,DM346,"INTRODUCTION TO LIGHTING DESIGN 2
***เฉพาะนักศึกษาในคณะเท่านั้น (นศ.นอกคณะโปรดติดต่อขออนุญาตผู้ สอนโดยใช้ใบคำร้อง)***
อ.สุพัตรา เครือครองสุข
ผศ.ภาสกร อินทุมาร",คณะศิลปกรรมศาสตร์,540001,"TH 13:30-15:30 N/A
TH 15:30-17:30 N/A","อ.สุพัตรา เครือครองสุข
ผศ.ภาสกร อินทุมาร"
26,DM347,"COSTUME AND MAKE-UP DESIGN FOR THEATRE 1
ดร.จารุณี อารีรุ่งเรือง",คณะศิลปกรรมศาสตร์,677801,"WE 08:30-10:30 N/A
WE 10:30-12:30 N/A",-
27,DM347,"COSTUME AND MAKE-UP DESIGN FOR THEATRE 1
***เฉพาะนักศึกษาในคณะเท่านั้น (นศ.นอกคณะโปรดติดต่อขออนุญาตผู้ สอนโดยใช้ใบคำร้อง)***
ดร.จารุณี อารีรุ่งเรือง",คณะศิลปกรรมศาสตร์,677801,"WE 08:30-10:30 N/A
WE 10:30-12:30 N/A",-
28,DM349,"MULTIMEDIA FOR THEATRE AND PERFORMANCE DESIGN
***เฉพาะนักศึกษาในคณะเท่านั้น (นศ.นอกคณะโปรดติดต่อขออนุญาตผู้ สอนโดยใช้ใบคำร้อง)***
ผศ.ณัฐคม แช่มเย็น",คณะศิลปกรรมศาสตร์,450001,"TU 13:30-15:30 N/A
TU 15:30-17:30 N/A",-
